station_name,latitude,longitude,drybulb,wetbulb
"SALT LAKE CITY INTL, UT, USA (WMO: 725720)",40.778,-111.969,"[('n5years', '40.0'), ('n10years', '40.7'), ('n20years', '41.4'), ('n50years', '42.3')]","[('n5years', '20.9'), ('n10years', '21.4'), ('n20years', '21.9'), ('n50years', '22.5')]"
"WASHINGTON DULLES, VA, USA (WMO: 724030)",38.977,-77.486,"[('n5years', '37.5'), ('n10years', '38.6'), ('n20years', '39.7'), ('n50years', '41.2')]","[('n5years', '27.4'), ('n10years', '28.0'), ('n20years', '28.6'), ('n50years', '29.3')]"
"EPPLEY FIELD, NE, USA (WMO: 725500)",41.310,-95.899,"[('n5years', '39.1'), ('n10years', '40.3'), ('n20years', '41.4'), ('n50years', '42.9')]","[('n5years', '28.4'), ('n10years', '28.8'), ('n20years', '29.3'), ('n50years', '29.8')]"
"AMES, IA, USA (WMO: 725472)",41.991,-93.619,"[('n5years', '36.0'), ('n10years', '36.9'), ('n20years', '37.6'), ('n50years', '38.7')]","[('n5years', '28.7'), ('n10years', '29.2'), ('n20years', '29.8'), ('n50years', '30.5')]"
"COLUMBIA GORGE, WA, USA (WMO: 726988)",45.619,-121.166,"[('n5years', '41.5'), ('n10years', '42.4'), ('n20years', '43.3'), ('n50years', '44.4')]","[('n5years', '22.9'), ('n10years', '23.3'), ('n20years', '23.8'), ('n50years', '24.3')]"
"LONG BEACH, CA, USA (WMO: 722970)",33.812,-118.146,"[('n5years', '39.7'), ('n10years', '40.9'), ('n20years', '42.1'), ('n50years', '43.7')]","[('n5years', '24.4'), ('n10years', '25.2'), ('n20years', '25.9'), ('n50years', '26.9')]"
"OMAHA MILLARD, NE, USA (WMO: 720308)",41.196,-96.112,"[('n5years', '38.4'), ('n10years', '39.2'), ('n20years', '40.0'), ('n50years', '41.0')]","[('n5years', '28.4'), ('n10years', '28.9'), ('n20years', '29.3'), ('n50years', '29.9')]"
"COLUMBUS RICKENBACKER, OH, USA (WMO: 724285)",39.817,-82.933,"[('n5years', '38.1'), ('n10years', '40.2'), ('n20years', '42.2'), ('n50years', '44.8')]","[('n5years', '28.5'), ('n10years', '29.7'), ('n20years', '30.8'), ('n50years', '32.2')]"
"UT MISSISSAUGA, ON, CANADA (WMO: 716245)",43.553,-79.666,"[('n5years', '36.0'), ('n10years', '37.0'), ('n20years', '37.9'), ('n50years', '39.2')]","[('n5years', '28.1'), ('n10years', '28.7'), ('n20years', '29.4'), ('n50years', '30.2')]"
"LANCASTER, TX, USA (WMO: 722143)",32.579,-96.719,"[('n5years', '40.9'), ('n10years', '41.9'), ('n20years', '42.8'), ('n50years', '44.0')]","[('n5years', '27.0'), ('n10years', '27.4'), ('n20years', '27.9'), ('n50years', '28.4')]"
"QUERETARO, MEXICO (WMO: 766250)",20.563,-100.369,"[('n5years', '35.4'), ('n10years', '36.1'), ('n20years', '36.8'), ('n50years', '37.7')]","[('n5years', '22.0'), ('n10years', '22.7'), ('n20years', '23.4'), ('n50years', '24.3')]"
"SUMMERVILLE, SC, USA (WMO: 720632)",33.063,-80.279,"[('n5years', '37.6'), ('n10years', '38.3'), ('n20years', '39.0'), ('n50years', '39.9')]","[('n5years', '28.5'), ('n10years', '28.9'), ('n20years', '29.3'), ('n50years', '29.8')]"
"CLAREMORE, OK, USA (WMO: 722091)",36.294,-95.479,"[('n5years', '40.4'), ('n10years', '42.0'), ('n20years', '43.6'), ('n50years', '45.7')]","[('n5years', '27.4'), ('n10years', '28.0'), ('n20years', '28.5'), ('n50years', '29.2')]"
"SUMMERVILLE, SC, USA (WMO: 720632)",33.063,-80.279,"[('n5years', '37.6'), ('n10years', '38.3'), ('n20years', '39.0'), ('n50years', '39.9')]","[('n5years', '28.5'), ('n10years', '28.9'), ('n20years', '29.3'), ('n50years', '29.8')]"
"STE-ANNE-DE-BELLEVUE, QC, CANADA (WMO: 713770)",45.427,-73.929,"[('n5years', '33.4'), ('n10years', '34.2'), ('n20years', '34.9'), ('n50years', '35.9')]","[('n5years', '26.2'), ('n10years', '26.9'), ('n20years', '27.5'), ('n50years', '28.4')]"
"CLARKSVILLE OUTLAW, TN, USA (WMO: 723280)",36.624,-87.419,"[('n5years', '38.3'), ('n10years', '39.9'), ('n20years', '41.4'), ('n50years', '43.3')]","[('n5years', '27.5'), ('n10years', '28.1'), ('n20years', '28.6'), ('n50years', '29.3')]"
"LANCASTER, TX, USA (WMO: 722143)",32.579,-96.719,"[('n5years', '40.9'), ('n10years', '41.9'), ('n20years', '42.8'), ('n50years', '44.0')]","[('n5years', '27.0'), ('n10years', '27.4'), ('n20years', '27.9'), ('n50years', '28.4')]"
"HENDERSON EXECUTIVE, NV, USA (WMO: 722096)",35.976,-115.133,"[('n5years', '45.7'), ('n10years', '46.4'), ('n20years', '47.1'), ('n50years', '48.0')]","[('n5years', '23.5'), ('n10years', '24.0'), ('n20years', '24.4'), ('n50years', '24.9')]"
